iter	MultiClass
0	1.305663528
1	1.238711626
2	1.183206303
3	1.136402446
4	1.096712122
5	1.060611369
6	1.027429078
7	0.9988751498
8	0.9730209014
9	0.9539578662
10	0.9332716147
11	0.9138953577
12	0.8967336861
13	0.8791248809
14	0.8647741596115	0.8503765733116	0.8365811366117	0.8247219525
18	0.8125549085
19	0.8010408151
20	0.7912404772
21	0.7809849999
22	0.7709761408
23	0.7602874435
24	0.7542431572
25	0.7462416788
26	0.7385391098
27	0.7305865187228	0.7239045016229	0.7163615730330	0.7089848531	31	0.7011674632332	0.6941961633333	0.6891838734334	0.6827516535335	0.6773747436	36	0.6724268437337	0.6667996538338	0.6612643339	0.6473570562
40	0.6443861911
41	41	0.6409790542	0.6344992354
443	0.6318674139444	0.6283643391445	0.6224613444446	0.6143671038447	0.607364187948	0.6003236016
49	0.5945810023
50	0.5904026551
51	0.5833803546
52	0.577237191
53	0.57211874
54	0.5679266608
55	0.5653905558
56	0.5621933378
57	0.558500872
58	0.5549946905
59	0.5502005595
60	0.5467363985
61	0.5444920397
62	0.5408976104
63	0.5379052847
64	0.5323800893
65	0.527872645
66	0.5236478194
67	0.5196634077
68	0.5179856515
69	0.5137226297
70	0.509980378
71	0.5065742788
72	0.5046963295
73	0.5019263225
74	0.4991851869
75	0.4954823443
76	0.4931054963
77	0.4899060332
78	0.4878320959
79	0.4862558201
80	0.4830948779
81	0.4803807844
82	0.4783122688
83	0.4727651141
84	0.470555702
85	0.468367915
86	0.4658262611
87	0.4618606143
88	0.4600749234
89	0.4559637938
90	0.4525415054
91	0.4503312756
92	0.4469485434
93	0.4430812316
94	0.4410910743
95	0.4384200807
96	0.4343702008
97	0.4314404549
98	0.4293651678
99	0.4274656215
100	0.4254173465
101	0.4237502487
102	0.4218697074
103	0.4177893195
104	0.4142528642
105	0.4114287649
106	0.4091977203
107	0.4070953855
108	0.4048131636
109	0.4028982478
110	0.4006796859
111	0.3984918206
112	0.3951719501
113	0.3926245766
114	0.3898482557
115	0.3872828569
116	0.3857937393
117	0.3835304706
118	0.3822345015
119	0.3798660276
120	0.3790423876
121	0.3763625973
122	0.3747831281
123	0.3723176988
124	0.3703988227
125	0.3685432301
126	0.3661408005
127	0.3650276613
128	0.3633997241
129	0.3622218708
130	0.3611524088
131	0.3584995661
132	0.357124726
133	0.3550589418
134	0.3525920388
135	0.3510476793
136	0.3495451745
137	0.3474468115
138	0.345228808
139	0.3434110071
140	0.3416224541
141	0.3408391716
142	0.3389867912
143	0.3374434237
144	0.3362036029
145	0.3340899607
146	0.3321728273
147	0.3303037193
148	0.3282023786
149	0.3271616675
150	0.3263369571
151	0.3243298353
152	0.3233518927
153	0.321485467
154	0.320078422
155	0.3183892625
156	0.3157826444
157	0.3141031574
158	0.3125536488
159	0.3118104755
160	0.3106596937
161	0.3095124622
