iter	Passed	Remaining
0	208	208096
1	367	183318
2	510	169566
3	668	166572
4	798	158909
5	911	151038
6	1081	153429
7	1232	152841
8	1353	149032
9	1513	149865
10	1650	148386
11	1771	145873
12	1915	145462
13	2051	144462
14	2245	147444
15	2402	147740
16	2537	146703
17	2711	147923
18	2901	149798
19	3071	150485
20	3263	152139
21	3439	152914
22	3527	149834
23	3617	147119
24	3813	148732
25	3965	148561
26	4111	148173
27	4236	147083
28	4342	145384
29	4433	143337
30	4568	142810
31	4685	141725
32	4831	141590
33	4982	141569
34	5154	142121
35	5288	141603
36	5475	142498
37	5665	143437
38	5759	141919
39	6170	148083
40	6323	147902
41	6200	141423
42	6620	147334
43	6569	142733
44	6734	142919
45	6889	142889
46	7035	142659
47	7178	142381
48	7543	146412
49	7726	146808
50	7895	146919
51	8066	147054
52	8257	147544
53	8389	146966
54	8622	148157
55	8759	147654
56	8873	146807
57	9048	146963
58	9131	145642
59	9296	145642
60	9429	145149
61	9646	145937
62	9762	145202
63	9907	144891
64	10045	144503
65	10204	144412
66	10348	144109
67	10500	143913
68	10639	143556
69	10745	142760
70	10877	142328
71	10990	141655
72	11127	141308
73	11239	140650
74	11353	140024
75	11439	139074
76	11567	138654
77	11687	138148
78	11863	138305
79	11975	137713
80	12089	137159
81	12228	136903
82	12336	136293
83	12439	135650
84	12564	135250
85	12735	135349
86	12891	135285
87	13071	135467
88	13201	135129
89	13366	135147
90	13524	135099
91	13736	135575
92	13901	135581
93	14046	135386
94	14208	135352
95	14385	135460
96	14567	135617
97	14799	136216
98	14943	135999
99	15093	135842
100	15291	136113
101	15433	135874
102	15577	135656
103	15724	135472
104	15877	135337
105	15995	134903
106	16119	134527
107	16228	134038
108	16363	133758
109	16505	133542
110	16659	133426
111	16799	133195
112	16931	132906
113	17103	132930
114	17265	132870
115	17432	132846
116	17616	132950
117	17738	132585
118	17864	132258
119	18038	132285
120	18144	131810
121	18342	132002
122	18507	131958
123	18666	131866
124	18846	131923
125	18989	131719
126	19156	131685
127	19346	131796
128	19491	131603
129	19657	131556
130	19856	131721
